GRIDCODE	CVENMUN	Fb
648485	08005	0.006486704
648486	08037	0.000270191
648486	08005	0.006812996
648487	08037	0.000309799
648487	08005	0.006708898
648488	08037	0.001627547
648488	08005	0.003245599
648489	08037	0.002750183
648489	08005	0.00029509
648490	08037	0.002862462
648491	08037	0.002862462
648492	08037	0.002862462
648493	08037	0.002862462
648494	08037	0.002862462
648495	08037	0.002862462
648496	08037	0.000342752
648496	08037	6.45785E-05
648496	08037	0.002455131
648497	08037	0.001543391
648497	08037	0.00127431
648497	08037	4.47612E-05
648498	08037	0.002705607
648498	08037	0.000156855
648499	08037	0.002862462
648500	08037	0.002028377
648500	08037	4.5432E-05
648500	08037	0.000788653
648501	08037	0.002455176
648501	08037	0.000407286
648502	08037	0.002137435
648502	08037	0.000705897
648502	08028	0.000103601
648503	08037	0.0018079
648503	08028	0.005711241
648504	08037	0.001590922
648504	08037	0.000261156
648504	08028	0.001551158
648504	08028	0.003920823
648505	08037	2.60292E-05
648505	08028	0.014566652
648506	08028	0.00054243
649538	08005	0.007523112
649539	08005	0.007523112
649540	08005	0.007523112
649541	08005	0.007523112
649542	08005	0.007523112
649543	08005	0.007523112
649544	08005	0.007523112
649545	08005	0.007523112
649546	08005	0.007523112
649547	08037	0.000229255
649547	08005	0.006920585
649548	08037	0.002305876
649548	08005	0.001462818
649549	08037	0.002862462
649550	08037	0.002862462
649551	08037	0.002862462
649552	08037	0.002862462
649553	08037	0.002862462
649554	08037	0.002862462
649555	08037	3.15819E-05
649555	08037	0.00283088
649556	08037	0.001504634
649556	08037	0.001357828
649557	08037	0.001747589
649557	08037	0.001114872
649558	08037	0.001161899
649558	08037	0.001700563
649559	08037	8.94113E-08
649559	08037	0.002454371
649559	08037	0.000408002
649560	08037	2.35766E-05
649560	08037	0.000156166
649560	08037	0.002682719
649561	08037	0.000264388
649561	08037	0.002598073
649562	08037	0.001752769
649562	08037	0.001055363
649562	08037	5.43297E-05
649563	08037	0.000233433
649563	08037	0.002208751
649564	08037	0.00043654
649564	08028	0.001956433
650597	08005	0.007523112
650598	08005	0.007523112
650599	08005	0.007523112
650600	08005	0.007523112
650601	08005	0.007523112
650602	08005	0.007523112
650603	08005	0.007523112
650604	08005	0.007523112
650605	08037	3.68335E-06
650605	08005	0.007513431
650606	08037	0.001152557
650606	08005	0.004493965
650607	08037	0.001278599
650607	08037	0.001583863
650608	08037	0.002394714
650608	08037	0.000467748
650609	08037	0.001606816
650609	08037	0.001255646
650610	08037	6.70458E-05
650610	08037	0.002795416
650611	08037	0.002862462
650612	08037	0.002862462
650613	08037	0.002862462
650614	08037	0.002862462
650615	08037	0.002862462
650616	08037	0.002862462
650617	08037	0.002815324
650617	08037	4.71378E-05
650618	08037	0.001136066
650618	08037	0.001726396
650619	08037	2.32177E-10
650619	08037	0.002862462
650620	08037	0.000982434
650620	08037	0.001880028
650621	08037	0.000233387
650621	08037	0.002567
650622	08037	0.000565275
651656	08005	0.007523112
651657	08005	0.007523112
651658	08005	0.007523112
651659	08005	0.007523112
651660	08005	0.007523112
651661	08005	0.007523112
651662	08005	0.007523112
651663	08005	0.007523112
651664	08037	5.606E-05
651664	08037	0.000533732
651664	08005	2.49209E-08
651664	08005	0.005972996
651665	08037	0.001750845
651665	08037	0.001111617
651666	08037	0.002861861
651666	08037	6.01243E-07
651667	08037	0.002862462
651668	08037	0.002862462
651669	08037	0.000850072
651669	08037	0.00201239
651670	08037	0.002862462
651671	08037	0.002862462
651672	08037	0.002862462
651673	08037	0.002862462
651674	08037	0.002862462
651675	08037	0.002862462
651676	08037	0.002664684
651676	08037	0.000197778
651677	08037	0.001471229
651677	08037	0.001391233
651678	08037	0.001919721
651678	08037	0.000942741
651679	08037	0.001135757
651679	08037	0.001497494
651679	08037	0.00022921
651680	08037	0.001689761
651680	08037	4.55896E-05
652715	08005	0.007523112
652716	08005	0.007523112
652717	08005	0.007523112
652718	08005	0.007523112
652719	08005	0.007523112
652720	08005	0.007523112
652721	08005	0.007523112
652722	08005	0.007523112
652723	08037	0.000813938
652723	08037	8.47836E-06
652723	08005	9.7408E-05
652723	08005	0.005264232
652724	08037	0.002862462
652725	08037	0.002862462
652726	08037	0.002862462
652727	08037	0.002225508
652727	08037	0.000636954
652728	08037	9.61956E-05
652728	08037	0.002766266
652729	08037	0.002862462
652730	08037	0.002862462
652731	08037	0.002862462
652732	08037	0.002862462
652733	08037	0.002862462
652734	08037	0.002862462
652735	08037	0.002862462
652736	08037	0.002862462
652737	08037	5.48493E-06
652737	08037	0.002856977
652738	08037	0.001843478
652738	08037	0.000769284
652739	08037	0.000490335
653774	08005	0.007523112
653775	08005	0.007523112
653776	08005	0.007523112
653777	08005	0.007523112
653778	08005	0.007523112
653779	08005	0.007523112
653780	08005	0.007523112
653781	08005	0.007523112
653782	08037	0.000127553
653782	08037	0.000581057
653782	08005	0.005660745
653783	08037	0.002249412
653783	08037	0.00061305
653784	08037	0.002862462
653785	08037	0.002862462
653786	08037	0.002609811
653786	08037	0.000252651
653787	08037	9.79051E-05
653787	08037	0.002764557
653788	08037	0.002862462
653789	08037	0.002862462
653790	08037	4.49125E-05
653790	08037	0.002817549
653791	08037	0.002180778
653791	08037	0.000681684
653792	08037	0.001294695
653792	08037	0.000113887
653792	08037	0.00145388
653793	08037	0.001220944
653793	08037	0.001641518
653794	08037	0.000194899
653794	08037	0.002667563
653795	08037	0.002862462
653796	08037	0.001103863
653796	08037	0.001758599
653797	08037	0.001193837
654833	08005	0.007523112
654834	08005	0.007523112
654835	08005	0.007523112
654836	08005	0.007523112
654837	08005	0.007523112
654838	08005	0.007523112
654839	08005	0.007523112
654840	08005	0.007523112
654841	08037	0.000594804
654841	08005	0.005959849
654842	08037	0.001839366
654842	08037	0.001023096
654843	08037	0.002862462
654844	08037	0.002255092
654844	08037	0.00060737
654845	08037	0.000490727
654845	08037	0.002371735
654846	08037	0.000314002
654846	08037	1.59243E-05
654846	08037	0.002532536
654847	08037	0.001617577
654847	08037	0.001244885
654848	08037	0.000754594
654848	08037	0.001890938
654849	08037	0.00106314
654849	08037	6.32174E-05
654849	08037	0.001244596
654850	08037	0.000648082
654851	08037	0.001365694
654851	08037	0.001133366
654852	08037	0.002779811
654852	08037	8.26506E-05
654853	08037	0.000455192
654853	08037	0.00240727
654854	08037	6.73963E-05
654854	08037	0.002776482
654855	08037	0.001948021
654855	08037	0.000431975
654856	08037	0.000265362
655892	08005	0.007523112
655893	08005	0.007523112
655894	08005	0.007523112
655895	08005	0.007523112
655896	08005	0.007523112
655897	08005	0.007523112
655898	08037	8.32799E-05
655898	08005	0.007304236
655899	08037	0.000806137
655899	08005	0.005404424
655900	08037	0.001255035
655900	08005	0.004224634
655901	08037	0.000224459
655901	08037	0.002638003
655902	08037	0.001356928
655902	08037	0.001505534
655903	08037	0.00105554
655903	08037	0.001806922
655904	08037	3.20856E-05
655904	08037	0.002830376
655905	08037	0.002233138
655905	08037	0.000629324
655906	08037	0.002862462
655907	08037	0.002479132
655908	08037	0.00240417
